Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Education, Language Spoken and Literacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Highest Qualification Attained (HQA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 25 Years & Over By Highest Qualification Attained, Sex And Age Group, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 03/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  30 - 34 Years,189000,195600,171400,155800,149100,148500,148400,144100,145100,142900,138500,136100,136500,131600,122300,122400,111500,101500,95300,91800,81600,71500,62500,59700,50200,47400,43800,34700,30500,27100,24900,19200,18400
  35 - 39 Years,174200,179500,161100,161000,162000,161200,148100,148900,143200,143400,137000,134400,126600,118000,112200,102800,96000,80300,76800,73700,67000,57300,46900,42000,42500,33500,29000,24800,23200,20400,17700,15600,13900
  40 - 44 Years,177800,167200,149900,151500,149200,146900,130000,130100,123300,119700,110700,99900,88100,84100,80400,70900,67800,57600,58600,46600,40100,36400,29600,28300,27900,24900,22300,17500,15700,15200,12800,11800,9800
  45 - 49 Years,158600,133400,128100,129100,118400,114400,99000,89400,91000,83800,73800,69000,60400,54700,51500,42900,43200,32600,34300,31600,26200,22700,19000,18700,19200,17900,13700,11300,10300,10000,7800,6100,5100
  50 - 54 Years,112600,88900,86700,85100,79200,71400,65000,61300,56500,54600,46000,38900,35500,33200,29200,28100,27200,21100,20000,19000,17000,15700,12100,11600,10200,8800,6500,5400,6300,5900,5600,4400,3500
  55 - 59 Years,78200,61400,58400,53900,48700,43900,38600,36600,34100,34400,28500,23300,22300,19700,18400,17800,16800,11800,13900,10200,7600,6700,5900,6300,5800,5100,5600,3500,4200,3600,3200,1900,1700
  60 - 64 Years,41400,41900,33900,29800,30900,25100,22600,22000,22700,21000,17500,15300,13500,11100,9200,9400,8100,5800,6300,6200,4800,4400,3700,3100,4100,2400,2100,1800,2300,1800,1200,1100,800
  65 Years & Over,59700,53600,42300,39200,35000,31900,27900,24500,24500,18200,16800,16300,12700,11900,10500,9400,10400,6600,7500,5700,4200,4000,3300,3900,3500,2300,3400,2300,2300,2100,1600,1300,1100
Total Males,1478800,1430900,1412900,1394900,1376600,1363300,1334500,1316000,1309900,1277800,1259100,1249500,1242400,1210900,1177600,1178800,1164000,1117600,1107000,1096200,1067300,1031200,1012700,1009300,981600,964600,939100,916600,894200,875400,854700,831400,810800
  25 - 29 Years,105100,125700,128700,126500,121600,118400,122300,111100,113100,105600,107400,110900,118200,113400,106900,107800,106400,111900,108500,107200,108000,113100,118700,117100,113800,118700,112400,118600,126100,128500,134300,136500,142000
  30 - 34 Years,149400,155000,140200,129500,124800,122400,125900,126800,129300,128800,126500,130400,136800,131700,126000,135900,130900,136300,133300,135000,131000,132200,136000,144100,139100,143500,144700,144100,143300,139100,148800,145000,149100
  35 - 39 Years,146200,150100,139200,137000,141800,144300,138200,140500,139200,141400,142900,147100,152800,144300,148100,148800,144700,146200,141600,152300,159800,157500,156300,157400,154100,152300,154000,151700,146400,138900,132200,132200,128700
  40 - 44 Years,153700,147800,139000,141200,151500,154800,143800,151300,146800,147500,147900,143500,148100,154100,153300,156400,159300,161700,163000,158600,158900,156500,152900,149700,148900,143900,140500,134100,125000,125800,115500,112000,103200
  45 - 49 Years,164100,147600,150800,156400,151100,151000,144600,146500,144500,155500,157800,160200,159300,158400,160100,159400,161800,150600,152500,148000,140300,135800,128700,125700,126500,123600,118900,105100,96300,88700,76700,66400,64200
  50 - 54 Years,147600,125400,143500,151400,156900,153600,158600,159300,155600,156600,154700,154000,151900,148200,144700,142400,141400,128300,127400,122300,120600,114000,102400,93200,85000,78600,66200,66600,69900,70700,71300,68300,59100
  55 - 59 Years,157900,139400,149700,154300,150000,142700,148300,148800,146700,138700,136500,132300,127200,117800,115300,116800,113300,99600,94900,85400,73600,59100,61900,65100,65600,64700,63500,60200,57600,55100,54700,54000,49700
  60 - 64 Years,145500,145600,138900,135200,133400,128400,130200,123400,122900,115400,109900,104400,96500,88000,79500,69600,63700,59000,62800,64100,60800,58400,53500,54200,49300,48900,47100,47500,47700,47200,45900,45500,40900
  65 Years & Over,309400,294500,282900,263300,245400,247700,222600,208300,211900,188200,175400,166800,151500,155100,143700,141800,142400,124100,123200,123200,114300,104600,102200,102800,99200,90400,91800,88700,81800,81500,75300,71600,73800
Total Males - Below Secondary,276600,281200,324400,319200,320000,349000,349400,345100,363400,360600,368000,378900,388600,409700,401400,448900,449800,413300,453500,461600,457600,451200,422300,475500,468800,478000,474900,445800,480600,486700,484900,486100,491800
  25 - 29 Years,2000,2500,3900,4100,3900,3300,4400,4400,5600,4100,4600,5600,4800,7400,7500,9700,8700,9300,11500,11700,13400,15100,16200,18700,21900,22600,24300,28600,41200,46400,52300,56800,60400
  30 - 34 Years,4000,3900,4800,4400,3400,4300,4700,5700,4900,6000,7500,7100,8100,10000,10800,15200,15500,15500,19200,20400,20200,24300,29200,39200,41800,47700,52100,49500,57600,58700,63500,65100,71500
  35 - 39 Years,5500,5800,6000,6200,6300,7100,8000,8000,8800,11200,11100,12000,14900,17700,18000,24600,25000,28300,32800,40700,48400,52900,50300,58000,56000,60900,67200,60400,66800,68200,66200,68500,67400
  40 - 44 Years,7700,7900,8800,8300,11900,13200,11800,15200,16600,17000,19400,21100,28500,34700,37300,46800,53200,50600,59700,60900,61600,65200,60300,69400,68500,70100,65900,58900,63700,63400,61000,61500,60500
  45 - 49 Years,11400,11400,15500,17100,16300,19500,23200,26900,27300,36100,41100,46200,51200,54900,57000,63200,68100,60900,69200,68600,67000,67400,56800,64200,62000,64800,64500,54000,54800,52500,46900,42300,43200
  50 - 54 Years,17100,19200,27800,32500,38400,43800,49700,47600,49300,51900,55500,59000,61800,64700,64700,70600,69200,58400,65400,66000,64000,60100,52300,55100,48700,48700,41600,40600,46300,47300,48600,47800,44200
  55 - 59 Years,40100,38400,48700,51200,47700,53300,54100,57800,61400,57300,58500,60300,59200,56300,55300,64700,59900,54500,55100,50600,46000,36100,37700,42800,45600,45400,43500,40900,42000,41100,42200,42700,41500
  60 - 64 Years,49400,51500,55800,54300,56200,57300,59200,53500,55400,53100,51800,53600,52000,51100,46200,44000,40500,37600,42600,43200,42800,42600,36700,40600,38200,39300,37200,37600,38100,38200,38100,38900,36500
  65 Years & Over,139300,140500,153000,141200,136000,147100,134400,125900,133900,124100,118400,114000,108000,113000,104600,110100,109600,98200,98100,99400,94300,87600,82700,87500,86100,78400,78600,75300,69800,70800,66200,62400,66600
Total Males - Secondary,220800,211200,215000,220900,225500,216900,218600,227400,217000,220700,217900,225900,222400,261700,248200,237700,238200,230900,232400,234400,240800,235400,240900,232100,228900,222300,224700,242200,208100,200300,193400,192000,190700
  25 - 29 Years,6000,8900,8500,9700,10600,8900,9900,9000,10400,11700,11400,14400,14900,21400,17400,18200,19600,18700,21500,22100,24600,28200,28200,31600,30000,34000,33600,34800,34900,34200,37300,41200,50100
  30 - 34 Years,10400,11000,9800,10900,10700,10600,11200,11700,12900,15000,13200,15400,17100,21500,19800,23500,22300,25400,27600,29600,33100,34300,32700,37600,37500,38100,41800,47000,42900,43700,46900,46600,47200
  35 - 39 Years,12700,13300,13500,14700,14700,15700,14200,16000,14500,16300,18100,20000,23100,29800,29100,30100,30000,32100,32000,35300,40100,38700,43600,46200,46500,46500,45100,48900,42100,37500,35700,35800,36100
  40 - 44 Years,13900,12200,15500,15600,17400,18200,19200,22700,20800,23000,26400,25400,27000,38100,34900,36200,36400,40100,40200,43500,44200,44200,44400,39800,39500,37100,39200,42700,34700,34700,30100,28600,24800
  45 - 49 Years,20100,18200,21600,23000,25600,26400,25200,27600,25200,30600,30200,34700,35600,40700,42400,42600,42500,38000,39200,36600,34800,33800,36400,32300,34700,30400,30200,29200,22300,19500,15000,12400,11900
  50 - 54 Years,23500,21700,26400,27200,29900,30800,33100,35500,34700,38200,35300,36600,36000,39600,37700,35100,34800,32600,31000,27500,29800,27300,25100,19100,19600,14500,12500,14500,11400,11600,11000,10900,8400
  55 - 59 Years,31300,27900,32500,35100,37300,32600,37200,36000,34300,29700,32100,31500,29300,32200,30000,24600,27400,21600,18000,16700,13800,11200,11300,10500,9100,9300,9300,10500,7700,7400,6600,6600,4700
  60 - 64 Years,34900,32500,32900,32400,30500,28500,29700,30700,29600,26000,26400,23800,20000,18500,17200,11100,10100,9700,10000,9800,8700,8100,8200,6700,4900,4800,5400,6000,5100,5300,4400,4300,2700
  65 Years & Over,68000,65600,54300,52400,48900,45300,38900,38300,34600,30300,24800,24100,19300,19900,19700,16200,15200,12700,12700,13100,11700,9600,11100,8200,7200,7600,7600,8600,7100,6300,6200,5700,4800
Total Males - Post Secondary (Non-Tertiary),160300,151300,158100,143600,143100,135400,139300,137300,130200,127700,132100,127500,132200,71400,87600,79300,78100,107900,72800,73800,74900,71700,93600,63700,60900,61300,62200,73400,60700,55800,55200,50300,40000
  25 - 29 Years,11900,13200,18100,14400,14600,16100,16900,16200,14900,13900,15100,15900,17700,8800,11100,11800,9300,13900,9500,9500,10400,11200,16300,11400,10900,12000,12200,14900,12400,11200,11400,10400,7800
  30 - 34 Years,13700,15600,17700,13600,12600,13700,14500,12200,13300,13100,12800,13500,15100,6900,9000,9900,12200,15800,10600,12300,13400,13000,15800,11200,10400,10300,9900,12800,9900,9200,9700,9500,9500
  35 - 39 Years,13400,13200,15300,12100,14300,11600,12400,14200,12200,11800,14700,16600,19100,9300,13300,12300,11400,17200,11100,9900,12100,11200,14500,9200,9700,9400,10100,13200,10900,9800,10300,9800,8900
  40 - 44 Years,13900,12200,13900,12400,13800,14400,15200,16100,16200,17200,17100,16900,18300,9400,12200,10400,10200,15800,10300,9800,10800,10300,14200,9200,9800,9400,10800,11500,8900,10200,9000,7600,6200
  45 - 49 Years,16500,17700,18400,19000,17200,16500,16700,16200,15700,17200,17700,16500,17000,8500,11800,9600,9400,15500,10100,11000,10000,9200,11900,8300,8000,8400,7700,8100,7000,5900,5500,4300,2900
  50 - 54 Years,17500,14400,17300,17200,18500,16100,16800,17900,18600,17000,17500,15500,16000,8300,10300,8700,8700,13000,8200,7400,7300,7800,9100,5800,4700,4800,4300,4800,4600,4200,4700,3900,2000
  55 - 59 Years,18600,17200,16300,16100,17100,13700,16900,16100,14000,15400,15800,13800,12500,8200,8400,7200,6800,8400,6400,5800,4400,3900,5000,3800,3600,3700,3700,3900,2900,2300,2000,2200,1100
  60 - 64 Years,18000,18600,15000,14900,15200,15100,14200,13900,11800,10500,10500,9100,8000,4900,4600,4000,4000,3900,3000,3900,3400,2800,3300,2600,1700,1500,1600,1700,1700,1300,1600,1000,600
  65 Years & Over,36800,29100,26000,23900,19900,18200,15700,14500,13600,11500,10900,9500,8400,6900,6900,5500,6000,4500,3600,4400,3000,2500,3600,2300,2100,1700,1900,2400,2400,1800,1100,1600,1000
Total Males - Diploma & Professional Qualification,256800,247100,230000,235500,219500,208500,211800,205300,203600,189200,187400,186100,177300,165800,154500,147200,138700,141400,124300,117200,110500,105200,111100,94200,90300,83800,73600,68600,61900,55800,52800,46100,40100
  25 - 29 Years,28300,31600,34900,34800,32200,31500,33700,29700,31500,28000,30900,30700,31200,31700,27900,32300,30600,31200,28900,27100,27000,25500,26300,22800,22500,22300,19300,19100,17200,17100,16000,13900,11800
